Stop,Runtime,Line,Departure time,Arrival time
A* - TIME,1.007006
From: ,Mirkow - Sportowa,To: ,Gospodarska
Mirkow - Sportowa,>,,,20:50:00
BIERUTOWSKA (Wiadukt),>,914,21:11:00,21:13:00
Bierutowska 75,>,914,21:13:00,21:14:00
Bierutowska,>,914,21:14:00,21:15:00
Bierutowska 65,>,914,21:15:00,21:15:00
Dobroszycka,>,914,21:15:00,21:16:00
PSIE POLE (Stacja kolejowa),>,914,21:16:00,21:17:00
Psie Pole (Rondo Lotnikow Polskich),>,914,21:17:00,21:18:00
Psie Pole,>,914,21:18:00,21:19:00
C.H. Korona,>,914,21:19:00,21:22:00
Brucknera,>,914,21:22:00,21:24:00
Kwidzynska,>,921,21:30:00,21:32:00
Sniadeckich,>,921,21:32:00,21:34:00
Kochanowskiego,>,921,21:34:00,21:36:00
Chopina,>,17,21:42:00,21:43:00
Karlowicza,>,17,21:43:00,21:44:00
Stadion Olimpijski,>,17,21:44:00,21:45:00
8 Maja,>,17,21:45:00,21:46:00
Godebskiego (AWF Wroclaw),>,17,21:46:00,21:47:00
SEPOLNO,>,17,21:47:00,21:49:00
Monopolowa,>,115,21:56:00,21:57:00
Kolumba,>,115,21:57:00,21:58:00
Magellana,>,115,21:58:00,21:59:00
Swojczyce,>,115,21:59:00,22:00:00
Miloszycka,>,118,22:09:00,22:11:00
Gospodarska,>,118,22:11:00,22:12:00

A* - TIME,0.861173
From: ,Krakowska,To: ,ZWYCIESKA
Krakowska,>,,,18:50:00
KRAKOWSKA (Centrum handlowe),>,114,18:57:00,18:58:00
Park Wschodni,>,114,18:58:00,19:00:00
Armii Krajowej (Bogedaina),>,134,19:04:00,19:05:00
Transbud,>,134,19:05:00,19:06:00
Bardzka,>,134,19:06:00,19:08:00
Kamienna,>,134,19:08:00,19:09:00
Wapienna,>,134,19:09:00,19:10:00
Borowska,>,134,19:10:00,19:11:00
Uniwersytet Ekonomiczny,>,134,19:11:00,19:14:00
Drukarska,>,134,19:14:00,19:16:00
Hallera,>,143,19:18:00,19:22:00
Sudecka,>,144,19:23:00,19:24:00
Jarzebinowa,>,144,19:24:00,19:25:00
Skierniewicka,>,144,19:25:00,19:26:00
Wyscigowa,>,144,19:26:00,19:29:00
Malinowa,>,144,19:29:00,19:30:00
Ozynowa,>,144,19:30:00,19:31:00
rondo Sw. Ojca Pio,>,144,19:31:00,19:34:00
ZWYCIESKA,>,144,19:34:00,19:35:00

A* - TIME,0.000997
From: ,Os. Przyjazni,To: ,IWINY - petla
Os. Przyjazni,>,,,00:25:00

A* - TIME,2.130422
From: ,Wiaduktowa,To: ,Krolewiecka
Wiaduktowa,>,,,09:16:00
Gazowa,>,125,09:16:00,09:17:00
TARNOGAJ,>,125,09:17:00,09:18:00
Klimasa,>,125,09:18:00,09:19:00
Transbud,>,125,09:19:00,09:21:00
Bardzka,>,125,09:21:00,09:23:00
Kamienna,>,125,09:23:00,09:25:00
Prudnicka,>,125,09:25:00,09:26:00
Hubska (Dawida),>,125,09:26:00,09:27:00
DWORZEC AUTOBUSOWY,>,125,09:27:00,09:30:00
Dworzec Glowny (Stawowa),>,31,09:32:00,09:34:00
Arkady (Capitol),>,31,09:34:00,09:36:00
pl. Legionow,>,31,09:36:00,09:38:00
