Game result;Winner score;Loser score;Runtime;Rounds played;White player heuristic;Black player heuristic;White player depth;Black player depth
Black pieces win;25;39;1.367;60;corners;coin_parity;1;1
Black pieces win;29;35;1.409;60;coin_parity;corners;1;1
White pieces win;33;31;1.691;60;coin_parity;coin_parity;1;1
Black pieces win;29;35;1.768;60;corners;corners;1;1
White pieces win;39;25;1.78;60;coin_parity;stability;1;1
White pieces win;43;21;1.822;60;mobility;corners;1;1
White pieces win;54;10;1.883;60;stability;corners;1;1
White pieces win;38;26;1.914;60;stability;coin_parity;1;1
White pieces win;43;21;1.962;60;coin_parity;mobility;1;1
Black pieces win;21;43;2.351;60;corners;stability;1;1
Black pieces win;25;39;2.481;60;mobility;stability;1;1
White pieces win;52;12;2.594;60;stability;stability;1;1
Black pieces win;31;33;2.689;60;coin_parity;coin_parity;2;1
White pieces win;45;19;2.691;60;mobility;coin_parity;1;1
Black pieces win;31;33;2.732;60;stability;mobility;1;1
Black pieces win;31;33;3.102;60;corners;mobility;1;1
White pieces win;43;21;3.41;60;coin_parity;stability;2;1
White pieces win;47;17;3.641;60;coin_parity;corners;2;1
Black pieces win;20;44;3.649;60;corners;corners;1;2
White pieces win;39;25;3.847;60;mobility;mobility;1;1
White pieces win;40;24;4.288;60;corners;coin_parity;2;1
Black pieces win;22;42;4.454;60;coin_parity;corners;1;2
Black pieces win;15;49;4.687;60;coin_parity;coin_parity;1;2
Black pieces win;28;36;4.87;60;stability;coin_parity;2;1
Black pieces win;27;37;5.016;60;stability;coin_parity;1;2
White pieces win;37;27;5.464;60;corners;stability;2;1
Black pieces win;8;56;6.362;60;stability;corners;1;2
White pieces win;46;18;6.814;60;corners;corners;2;1
Black pieces win;27;37;6.856;60;mobility;coin_parity;1;2
White pieces win;44;20;6.899;60;coin_parity;mobility;2;1
White pieces win;44;20;7.386;60;stability;corners;2;1
Black pieces win;26;38;7.533;60;corners;coin_parity;1;2
White pieces win;49;15;7.841;60;stability;mobility;2;1
White pieces win;43;21;7.934;60;corners;mobility;2;1
Black pieces win;20;44;8.11;60;mobility;corners;1;2
Black pieces win;26;38;9.178;60;coin_parity;stability;1;2
Black pieces win;31;33;9.196;60;stability;stability;2;1
Black pieces win;18;46;11.32;60;corners;stability;1;2
White pieces win;39;24;11.771;59;coin_parity;stability;2;2
Black pieces win;25;39;12.379;60;mobility;stability;2;1
Black pieces win;31;33;12.66;60;stability;mobility;1;2
White pieces win;43;21;12.833;60;mobility;corners;2;1
Black pieces win;15;49;12.889;60;stability;stability;1;2
White pieces win;43;21;13.656;60;coin_parity;mobility;1;2
White pieces win;33;31;14.101;60;corners;corners;2;2
White pieces win;49;15;14.541;60;stability;mobility;2;2
Black pieces win;28;36;14.664;60;coin_parity;coin_parity;2;2
Black pieces win;16;48;14.949;60;stability;corners;2;2
Black pieces win;21;43;14.954;60;stability;coin_parity;2;2
White pieces win;45;19;15.183;60;mobility;coin_parity;2;1
Black pieces win;22;42;15.186;60;mobility;stability;1;2
White pieces win;40;24;15.399;60;corners;coin_parity;2;2
Black pieces win;23;41;16.308;60;coin_parity;corners;2;2
White pieces win;44;20;16.479;60;coin_parity;mobility;2;2
