Preprocessing Method;Model;Accuracy;Precision;Recall;F1 Score;Parameters;;;;;;;;
Discretization;Decision Tree;0.627906977;0.568475452;0.627906977;0.590075585;{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1};;;;;;;;
Discretization;Decision Tree;0.674418605;0.595348837;0.674418605;0.627906977;{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 2};;;;;;;;
Discretization;Decision Tree;0.697674419;0.622868217;0.697674419;0.651362326;{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4};;;;;;;;
Discretization;Decision Tree;0.627906977;0.571576227;0.627906977;0.592778825;{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1};;;;;;;;
Discretization;Decision Tree;0.651162791;0.580878553;0.651162791;0.607544421;{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2};;;;;;;;
Feature Selection;Decision Tree;0.558139535;0.571982281;0.558139535;0.550268336;{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1};;;;;;;;
Feature Selection;Decision Tree;0.720930233;0.630232558;0.720930233;0.670045717;{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 2};;;;;;;;
Feature Selection;Decision Tree;0.697674419;0.633430233;0.697674419;0.649298634;{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4};;;;;;;;
Feature Selection;Decision Tree;0.581395349;0.637964361;0.581395349;0.585191811;{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1};;;;;;;;
Feature Selection;Decision Tree;0.651162791;0.587794498;0.651162791;0.612911227;{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2};;;;;;;;
MinMax Scaling;Decision Tree;0.720930233;0.740739203;0.720930233;0.71885737;{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1};;;;;;;;
MinMax Scaling;Decision Tree;0.674418605;0.73873929;0.674418605;0.652101121;{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 2};;;;;;;;
MinMax Scaling;Decision Tree;0.720930233;0.779388965;0.720930233;0.698781838;{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4};;;;;;;;
MinMax Scaling;Decision Tree;0.651162791;0.677408638;0.651162791;0.651162791;{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1};;;;;;;;
MinMax Scaling;Decision Tree;0.744186047;0.748652639;0.744186047;0.740502936;{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2};;;;;;;;
No Preprocessing;Decision Tree;0.720930233;0.732041344;0.720930233;0.717843425;{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1};;;;;;;;
No Preprocessing;Decision Tree;0.651162791;0.719767442;0.651162791;0.631746032;{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 2};;;;;;;;
No Preprocessing;Decision Tree;0.744186047;0.792840857;0.744186047;0.719793227;{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4};;;;;;;;
No Preprocessing;Decision Tree;0.651162791;0.68667263;0.651162791;0.651139719;{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1};;;;;;;;
No Preprocessing;Decision Tree;0.76744186;0.767620751;0.76744186;0.762687339;{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2};;;;;;;;
Normalization;Decision Tree;0.627906977;0.67555158;0.627906977;0.631896205;{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1};;;;;;;;
Normalization;Decision Tree;0.674418605;0.592350285;0.674418605;0.627338501;{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 2};;;;;;;;
Normalization;Decision Tree;0.627906977;0.646919625;0.627906977;0.61203291;{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4};;;;;;;;
Normalization;Decision Tree;0.627906977;0.652048726;0.627906977;0.630672185;{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1};;;;;;;;
Normalization;Decision Tree;0.604651163;0.524031008;0.604651163;0.557105943;{'criterion': 'gini', 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2};;;;;;;;
