Game result,Winner score,Loser score,Runtime,Rounds played,White player heuristic,Black player heuristic,Min-max depth,Alpha-beta-pruning
White pieces win,52,12,2.722,0,stability,stability,1,1,False
White pieces win,35,29,3.053,0,stability,corners,1,1,False
White pieces win,33,31,1.758,0,stability,coin_parity,1,1,False
Black pieces win,31,33,2.738,0,stability,mobility,1,1,False
Black pieces win,19,45,2.399,0,corners,stability,1,1,False
White pieces win,37,27,1.869,0,corners,corners,1,1,False
Black pieces win,28,36,1.382,0,corners,coin_parity,1,1,False
Black pieces win,16,48,3.026,0,corners,mobility,1,1,False
White pieces win,39,25,1.868,0,coin_parity,stability,1,1,False
White pieces win,41,23,1.497,0,coin_parity,corners,1,1,False
White pieces win,33,31,1.651,0,coin_parity,coin_parity,1,1,False
White pieces win,43,21,1.933,0,coin_parity,mobility,1,1,False
Black pieces win,25,39,2.481,0,mobility,stability,1,1,False
White pieces win,48,16,3.493,0,mobility,corners,1,1,False
White pieces win,45,19,2.574,0,mobility,coin_parity,1,1,False
White pieces win,39,25,3.946,0,mobility,mobility,1,1,False
Black pieces win,15,49,13.277,0,stability,stability,1,2,False
Black pieces win,14,50,4.502,0,stability,corners,1,2,False
Black pieces win,27,37,5.01,0,stability,coin_parity,1,2,False
Black pieces win,31,33,13.431,0,stability,mobility,1,2,False
Black pieces win,11,53,15.513,0,corners,stability,1,2,False
Black pieces win,17,47,8.486,0,corners,corners,1,2,False
Black pieces win,26,38,8.984,0,corners,coin_parity,1,2,False
Black pieces win,16,48,23.611,0,corners,mobility,1,2,False
Black pieces win,26,38,9.127,0,coin_parity,stability,1,2,False
Black pieces win,17,47,5.493,0,coin_parity,corners,1,2,False
Black pieces win,15,49,4.47,0,coin_parity,coin_parity,1,2,False
White pieces win,43,21,13.525,0,coin_parity,mobility,1,2,False
Black pieces win,22,42,13.606,0,mobility,stability,1,2,False
Black pieces win,24,40,6.344,0,mobility,corners,1,2,False
Black pieces win,27,37,6.714,0,mobility,coin_parity,1,2,False
White pieces win,39,25,21.242,0,mobility,mobility,1,2,False
Black pieces win,30,34,142.558,0,stability,stability,1,3,False
White pieces win,43,21,95.161,0,stability,corners,1,3,False
White pieces win,33,31,40.094,0,stability,coin_parity,1,3,False
Black pieces win,31,33,140.437,0,stability,mobility,1,3,False
Black pieces win,21,43,241.684,0,corners,stability,1,3,False
White pieces win,37,27,193.682,0,corners,corners,1,3,False
Black pieces win,26,38,131.991,0,corners,coin_parity,1,3,False
Black pieces win,16,48,708.42,0,corners,mobility,1,3,False
White pieces win,37,27,344.76,0,coin_parity,stability,1,3,False
White pieces win,47,17,150.229,0,coin_parity,corners,1,3,False
Black pieces win,29,35,250.905,0,coin_parity,coin_parity,1,3,False
White pieces win,43,21,181.322,0,coin_parity,mobility,1,3,False
White pieces win,42,22,259.626,0,mobility,stability,1,3,False
White pieces win,52,12,237.572,0,mobility,corners,1,3,False
